pendapatan_per_kapita,skor_aset,jumlah_tanggungan,kualitas_hunian,akses_sanitasi,radiasi_satelit_ntl
1335586.81,16.26,2,3,1,49.52
912455.17,70.46,2,5,1,38.18
1462219.35,54.77,2,4,1,7.16
988931.16,63.06,5,3,1,24.97
344576.04,71.53,5,3,1,10.76
344579.43,67.42,5,4,1,14.95
730597.18,18.1,7,4,0,30.27
785571.28,76.52,4,2,0,29.99
299202.97,61.85,5,3,0,43.6
549134.19,70.76,5,1,1,8.31
750730.64,32.23,2,3,0,24.92
499793.28,28.82,3,5,0,29.98
1146277.37,80.22,2,2,0,46.53
209697.14,43.18,3,2,1,25.87
352181.56,58.9,2,1,1,17.1
157220.24,56.89,9,2,1,14.68
359938.71,59.74,3,2,1,10.88
798057.65,15.91,3,3,1,48.12
164271.43,35.71,7,4,0,30.19
283227.43,15.65,3,4,1,15.25
1592438.38,50.81,3,1,1,37.28
1731561.6,86.68,1,4,0,14.53
1032372.12,43.08,2,1,0,25.24
421680.8,76.51,2,2,0,1.4
286053.02,34.42,5,5,1,42.34
706403.06,82.78,3,1,0,47.83
165651.98,45.66,6,1,0,43.3
621023.65,40.19,4,2,1,8.64
345698.55,69.29,4,5,1,41.28
277402.36,53.58,6,1,0,17.42
345477.11,38.67,4,2,1,46.82
1506157.93,14.94,4,3,0,15.02
327794.51,24.16,6,2,0,4.56
210225.39,75.65,5,1,0,42.66
1623962.59,88.26,2,1,0,5.92
190623.56,24.35,5,3,0,27.12
561868.88,58.4,4,3,1,18.86
305911.38,12.9,2,4,1,37.87
223416.72,34.72,4,1,1,37.47
743782.89,48.15,3,3,0,38.83
772035.33,72.55,4,3,1,3.26
1098739.08,13.75,2,2,0,42.93
924921.22,76.4,2,3,1,23.37
551681.13,27.23,3,4,0,11.04
163317.08,74.56,5,5,1,15.01
429115.41,63.17,3,3,1,45.15
501322.28,38.86,3,4,1,0.4
747758.56,71.52,5,4,1,40.11
812246.13,30.09,3,5,1,46.2
172108.7,28.68,4,4,0,12.58
481669.02,15.25,5,2,1,41.12
262286.1,43.41,6,2,0,8.14
330232.57,18.31,4,4,1,0.91
953975.71,45.66,3,3,0,30.27
613441.54,10.83,6,2,1,32.35
693377.71,23.18,5,3,1,7.59
599182.98,89.25,2,5,1,25.67
274501.8,77.62,6,2,1,19.34
806247.28,30.07,3,3,1,3.91
890049.82,71.05,4,3,1,25.44
495777.82,66.82,3,1,1,29.3
161249.69,25.04,11,1,0,10.94
204180.79,41.54,5,4,1,37.02
241827.92,87.66,4,5,1,3.72
645691.8,72.79,5,5,0,27.59
745629.83,74.63,6,2,1,15.24
474729.08,57.93,4,2,0,21.86
1810244.65,66.57,2,5,1,44.68
821074.66,53.24,3,4,0,33.53
336594.35,72.98,4,4,0,7.53
820956.23,72.28,3,2,1,44.33
997875.73,12.64,5,3,0,18.7
323432.24,63.7,6,4,0,17.13
5069669.54,63.53,1,3,1,25.13
137247.43,15.72,3,3,1,10.34
811668.38,44.88,4,4,0,45.72
417813.45,86.4,5,4,0,23.45
552375.47,91.04,3,2,0,19.75
2094983.98,76.49,1,2,0,8.63
200555.51,22.88,3,4,1,40.15
868957.67,41.85,2,2,1,47.65
491309.54,25.52,5,5,1,43.49
2406272.06,65.43,2,4,0,8.16
484283.41,75.72,3,4,1,37.61
610330.97,85.12,2,2,0,10.29
293463.3,83.16,5,1,0,2.04
1717008.5,18.43,2,1,1,24.28
805032.86,20.68,3,3,0,33.55
288573.75,87.32,5,2,1,6.3
674458.95,81.72,4,2,0,30.32
210167.78,49.13,10,2,1,42.2
1772745.11,46.55,2,3,0,10.53
1301161.84,56.99,1,3,1,21.45
814439.59,60.71,2,3,0,24.99
522365.5,31.61,3,1,0,41.58
411985.67,44.32,2,5,1,38.59
2368274.45,62.67,1,3,1,38.49
386494.8,27.53,6,1,1,33.98
331475.31,94.9,6,1,1,30.93
215303.98,34.05,8,2,0,25.49
282706.71,56.96,3,2,0,18.54
308098.52,57.1,5,3,0,25.71
230604.9,48.38,7,5,1,42.7
306305.82,30.53,4,2,1,28.57
224984.55,58.06,8,4,1,49.28
631678.7,17.74,4,5,1,7.21
1229691.19,42.89,5,2,1,22.11
733904.65,29.06,3,2,1,10.09
578524.33,20.56,4,3,1,18.32
632047.71,88.67,3,4,0,39.51
209007.41,69.5,3,1,0,41.26
325244.41,24.35,6,3,1,1.68
685240.97,90.7,3,4,1,47.67
2173068.77,28.36,4,3,1,43.61
353325.68,30.03,5,3,0,45.26
1187999.34,21.33,2,3,0,18.9
970945.64,71.87,2,3,1,24.9
245855.39,58.52,4,3,1,8.51
984017.86,14.95,4,2,1,19.9
778298.54,12.15,4,3,0,6.39
796772.77,55.28,4,2,0,43.18
574479.88,65.38,2,5,1,29.1
1150126.19,79.94,4,2,0,6.89
213756.97,50.65,4,2,0,43.97
2819624.44,67.51,1,2,1,4.11
2459973.38,72.36,3,5,0,46.35
547178.87,62.11,2,3,0,5.38
352895.41,39.94,4,3,0,35.93
701641.96,21.21,3,5,1,32.3
732902.11,65.04,2,5,0,39.16
195498.42,75.34,4,3,1,28.28
516506.64,26.14,4,3,0,17.56
209646.88,52.06,5,5,1,13.79
1317186.1,43.77,2,2,1,47.28
571030.72,27.48,2,3,1,22.12
628140.47,30.85,8,4,1,42.13
619644.28,30.2,2,3,0,36.18
272393.67,45.61,6,1,1,32.84
3230379.98,43.19,1,1,1,48.53
118425.56,57.11,8,4,1,28.32
568173.21,17.92,4,1,1,36.68
2171955.5,59.41,2,5,0,42.5
151156.67,11.86,5,2,0,2.39
369173.07,31.88,6,3,1,49.82
772446.0,52.68,3,3,0,13.18
1584764.77,68.39,2,2,1,35.16
314650.34,75.56,3,1,1,47.69
128260.15,13.02,7,2,0,38.18
1355956.62,55.69,2,3,0,11.56
473900.61,40.13,5,3,1,18.18
460863.78,69.07,5,3,1,20.77
813626.45,34.12,3,1,1,29.36
659236.74,73.22,2,2,1,30.19
2279239.1,61.19,1,3,1,39.42
787982.53,77.12,3,1,0,43.0
