regency_city,year,total_population,number_of_poor_people,poverty_percentage,school_participation_rate,sanitation_access_percent,drinking_water_access_percent,proper_housing_percent,unemployment_rate,gdp_per_capita,population_density,hdi,radiasi_satelit_ntl,pendapatan_per_kapita_bulan,skor_aset,status_mustahik
Kabupaten Bangkalan,2020,1060400.0,,21.57,19.01,56.18,93.92,,8.77,22038.2,1059.0,64.11,15.955484873935738,1836516.6666666667,49.8620699418165,1
Kabupaten Bangkalan,2021,1073510.0,215.97,21.57,18.7,39.44,97.39,,8.07,23147.7,947.0,64.36,15.182168506734879,1928975.0,44.5831546954161,1
Kabupaten Bangkalan,2022,1086620.0,196.11,19.44,49.15,53.48,93.91,,8.05,25134.3,835.0,65.05,16.180116130858785,2094525.0,49.5317459065502,1
Kabupaten Bangkalan,2023,1086620.0,,19.44,15.91,53.48,93.91,,6.18,25408.1,835.0,65.75,17.257612147029104,2117341.6666666665,50.30905176016727,1
Kabupaten Bangkalan,2024,1086620.0,,19.44,14.21,53.48,93.91,,5.35,26066.4,835.0,67.33,15.21294003923786,2172200.0,49.9973569411867,1
Kabupaten Banyuwangi,2020,1708100.0,,8.07,16.6,77.44,91.62,,5.34,47566.9,295.0,70.62,15.468137129720576,3963908.3333333335,58.619140213717195,0
Kabupaten Banyuwangi,2021,1719915.0,130.93,8.07,18.19,81.15,94.16,,5.42,49896.2,388.5,71.38,18.09405749871628,4158016.6666666665,61.248103460945984,0
Kabupaten Banyuwangi,2022,1731730.0,122.01,7.51,76.81,78.07,95.97,,5.26,53822.4,482.0,71.94,17.568067152781026,4485200.0,60.30533868589893,0
Kabupaten Banyuwangi,2023,1731730.0,,7.51,16.16,78.07,95.97,,4.75,58085.9,482.0,72.61,16.274359244642298,4840491.666666667,59.97624272829644,0
Kabupaten Banyuwangi,2024,1731730.0,,7.51,16.52,78.07,95.97,,4.03,62085.6,482.0,74.3,17.655278381599707,5173800.0,61.289590022276776,0
Kabupaten Blitar,2020,1223700.0,,9.65,19.61,80.36,95.35,,3.82,29489.6,916.0,70.58,15.357400750727399,2457466.6666666665,59.428031115720344,1
Kabupaten Blitar,2021,1232010.0,112.62,9.65,20.69,75.67,93.33,,3.66,30683.3,813.5,71.05,15.311423936772652,2556941.6666666665,58.18781104774123,1
Kabupaten Blitar,2022,1240320.0,101.94,8.71,68.57,80.11,96.37,,5.45,33284.7,711.0,71.86,16.202494418956213,2773724.9999999995,60.25507434721056,0
Kabupaten Blitar,2023,1240320.0,,8.71,16.04,80.11,96.37,,4.91,35811.7,711.0,72.49,13.799145458771157,2984308.3333333335,59.397836365586684,0
Kabupaten Blitar,2024,1240320.0,,8.71,14.92,80.11,96.37,,4.77,37810.6,711.0,73.44,14.160967430690357,3150883.3333333335,59.944831121857085,0
Kabupaten Bojonegoro,2020,1301600.0,,13.27,14.19,89.02,96.94,,4.92,54048.0,592.0,69.04,16.229532475790457,4504000.0,61.81255345036483,1
Kabupaten Bojonegoro,2021,1308365.0,166.52,13.27,16.1,90.96,97.24,,4.82,64424.3,580.5,69.59,16.104385842249815,5368691.666666667,62.556793465653755,1
Kabupaten Bojonegoro,2022,1315130.0,153.4,12.21,83.76,91.01,96.51,,4.69,76507.3,569.0,70.12,18.102606920312343,6375608.333333333,63.70604934783647,1
Kabupaten Bojonegoro,2023,1315130.0,,12.21,17.9,91.01,96.51,,4.63,74242.2,569.0,70.85,16.560747631930408,6186850.0,63.286421983967884,1
Kabupaten Bojonegoro,2024,1315130.0,,12.21,21.13,91.01,96.51,,4.42,76808.4,569.0,72.75,16.040565299736134,6400700.0,63.80633783064745,1
Kabupaten Bondowoso,2020,776200.0,,14.73,16.44,44.07,91.75,,4.13,25705.7,509.0,66.43,16.623886233003585,2142141.6666666665,47.46556287677089,1
Kabupaten Bondowoso,2021,778810.0,115.18,14.73,16.76,52.82,93.44,,4.46,27009.3,506.0,66.59,14.71075376786997,2250775.0,49.27157866209383,1
Kabupaten Bondowoso,2022,781420.0,105.69,13.47,68.6,51.64,93.31,,4.32,29216.6,503.0,67.31,15.251972849435301,2434716.6666666665,49.45537208435476,1
Kabupaten Bondowoso,2023,781420.0,,13.47,15.12,51.64,93.31,,4.15,31432.1,503.0,67.99,13.643972737424404,2619341.6666666665,48.985218186503566,1
Kabupaten Bondowoso,2024,781420.0,,13.47,14.53,51.64,93.31,,3.63,33500.9,503.0,71.22,14.859767892499274,2791741.6666666665,50.83835441192274,1
Kabupaten Gresik,2020,1311200.0,,12.42,26.55,96.9,94.63,,8.21,102622.8,1101.0,76.11,19.384914594852376,8551900.0,68.46088365916263,1
Kabupaten Gresik,2021,1321930.0,166.35,12.42,26.64,91.56,88.99,,8.0,109418.3,1081.0,76.5,18.008911465840608,9118191.666666666,66.37980529192643,1
Kabupaten Gresik,2022,1332660.0,149.64,11.06,83.16,90.29,91.5,,7.84,122650.1,1061.0,77.16,20.103925350887767,10220841.666666666,67.22973477733282,1
Kabupaten Gresik,2023,1332660.0,,11.06,28.14,90.29,91.5,,6.82,130527.0,1061.0,77.98,19.08793259067539,10877250.0,67.08881504185018,1
Kabupaten Gresik,2024,1332660.0,,11.06,27.68,90.29,91.5,,6.45,138271.2,1061.0,78.93,19.60275869912776,11522600.0,67.70642709190513,1
Kabupaten Jember,2020,2536700.0,,10.41,26.68,65.83,90.49,,5.12,30022.9,820.0,67.11,15.103406530601957,2501908.3333333335,53.563803014123984,1
