regency_city,year,Tidak ada
Kabupaten Pacitan,2020,1389.92
Kabupaten Ponorogo,2020,1305.7
Kabupaten Trenggalek,2020,1147.22
Kabupaten Tulungagung,2020,1055.65
Kabupaten Blitar,2020,1336.48
Kabupaten Kediri,2020,1386.05
Kabupaten Malang,2020,3530.65
Kabupaten Lumajang,2020,1790.9
Kabupaten Jember,2020,3092.34
Kabupaten Banyuwangi,2020,5782.4
Kabupaten Bondowoso,2020,1525.97
Kabupaten Situbondo,2020,1669.87
Kabupaten Probolinggo,2020,1696.21
Kabupaten Pasuruan,2020,1474.02
Kabupaten Sidoarjo,2020,634.38
Kabupaten Mojokerto,2020,717.83
Kabupaten Jombang,2020,1115.09
Kabupaten Nganjuk,2020,1224.25
Kabupaten Madiun,2020,1037.58
Kabupaten Magetan,2020,688.84
Kabupaten Ngawi,2020,1295.98
Kabupaten Bojonegoro,2020,2198.79
Kabupaten Tuban,2020,1834.15
Kabupaten Lamongan,2020,1782.05
Kabupaten Gresik,2020,1191.25
Kabupaten Bangkalan,2020,1001.44
Kabupaten Sampang,2020,1233.08
Kabupaten Pamekasan,2020,792.24
Kabupaten Sumenep,2020,1998.54
Kota Kediri,2020,63.4
Kota Blitar,2020,32.57
Kota Malang,2020,145.28
Kota Probolinggo,2020,56.67
Kota Pasuruan,2020,35.29
Kota Mojokerto,2020,20.21
Kota Madiun,2020,33.92
Kota Surabaya,2020,350.54
Kota Batu,2020,136.74
