regency_city,year,Tidak ada
Kabupaten Pacitan,2020,8796.0
Kabupaten Ponorogo,2020,9670.0
Kabupaten Trenggalek,2020,9630.0
Kabupaten Tulungagung,2020,10705.0
Kabupaten Blitar,2020,10654.0
Kabupaten Kediri,2020,11000.0
Kabupaten Malang,2020,10028.0
Kabupaten Lumajang,2020,9088.0
Kabupaten Jember,2020,9294.0
Kabupaten Banyuwangi,2020,12140.0
Kabupaten Bondowoso,2020,10610.0
Kabupaten Situbondo,2020,9857.0
Kabupaten Probolinggo,2020,10859.0
Kabupaten Pasuruan,2020,10164.0
Kabupaten Sidoarjo,2020,14458.0
Kabupaten Mojokerto,2020,12779.0
Kabupaten Jombang,2020,11261.0
Kabupaten Nganjuk,2020,12130.0
Kabupaten Madiun,2020,11574.0
Kabupaten Magetan,2020,11776.0
Kabupaten Ngawi,2020,11418.0
Kabupaten Bojonegoro,2020,10121.0
Kabupaten Tuban,2020,10238.0
Kabupaten Lamongan,2020,11456.0
Kabupaten Gresik,2020,13246.0
Kabupaten Bangkalan,2020,8610.0
Kabupaten Sampang,2020,8739.0
Kabupaten Pamekasan,2020,8739.0
Kabupaten Sumenep,2020,8888.0
Kota Kediri,2020,12239.0
Kota Blitar,2020,13733.0
Kota Malang,2020,16593.0
Kota Probolinggo,2020,12180.0
Kota Pasuruan,2020,13281.0
Kota Mojokerto,2020,13499.0
Kota Madiun,2020,16018.0
Kota Surabaya,2020,17755.0
Kota Batu,2020,12824.0
Kabupaten Pacitan,2021,8887.0
Kabupaten Ponorogo,2021,9851.0
Kabupaten Trenggalek,2021,9743.0
Kabupaten Tulungagung,2021,10807.0
Kabupaten Blitar,2021,10757.0
Kabupaten Kediri,2021,11127.0
Kabupaten Malang,2021,10163.0
Kabupaten Lumajang,2021,9203.0
Kabupaten Jember,2021,9410.0
Kabupaten Banyuwangi,2021,12217.0
Kabupaten Bondowoso,2021,10690.0
Kabupaten Situbondo,2021,9996.0
Kabupaten Probolinggo,2021,10969.0
Kabupaten Pasuruan,2021,10297.0
Kabupaten Sidoarjo,2021,14578.0
Kabupaten Mojokerto,2021,12844.0
Kabupaten Jombang,2021,11394.0
Kabupaten Nganjuk,2021,12172.0
Kabupaten Madiun,2021,11658.0
Kabupaten Magetan,2021,11833.0
Kabupaten Ngawi,2021,11459.0
Kabupaten Bojonegoro,2021,10221.0
Kabupaten Tuban,2021,10380.0
Kabupaten Lamongan,2021,11510.0
Kabupaten Gresik,2021,13280.0
Kabupaten Bangkalan,2021,8673.0
Kabupaten Sampang,2021,8790.0
Kabupaten Pamekasan,2021,8804.0
Kabupaten Sumenep,2021,9000.0
Kota Kediri,2021,12359.0
Kota Blitar,2021,13816.0
Kota Malang,2021,16663.0
Kota Probolinggo,2021,12245.0
Kota Pasuruan,2021,13354.0
Kota Mojokerto,2021,13610.0
Kota Madiun,2021,16095.0
Kota Surabaya,2021,17862.0
Kota Batu,2021,12887.0
Kabupaten Pacitan,2022,9184.0
Kabupaten Ponorogo,2022,10199.0
Kabupaten Trenggalek,2022,10042.0
Kabupaten Tulungagung,2022,11162.0
Kabupaten Blitar,2022,11001.0
Kabupaten Kediri,2022,11565.0
Kabupaten Malang,2022,10326.0
Kabupaten Lumajang,2022,9466.0
Kabupaten Jember,2022,9840.0
