regency_city,year,Tidak ada
Kabupaten Pacitan,2020,26972.4
Kabupaten Ponorogo,2020,21653.6
Kabupaten Trenggalek,2020,25087.3
Kabupaten Tulungagung,2020,35142.7
Kabupaten Blitar,2020,29489.6
Kabupaten Kediri,2020,24884.6
Kabupaten Malang,2020,38495.2
Kabupaten Lumajang,2020,28707.0
Kabupaten Jember,2020,30022.9
Kabupaten Banyuwangi,2020,47566.9
Kabupaten Bondowoso,2020,25705.7
Kabupaten Situbondo,2020,29244.2
Kabupaten Probolinggo,2020,29280.1
Kabupaten Pasuruan,2020,90746.9
Kabupaten Sidoarjo,2020,94817.6
Kabupaten Mojokerto,2020,73335.5
Kabupaten Jombang,2020,30303.4
Kabupaten Nganjuk,2020,24134.3
Kabupaten Madiun,2020,25811.1
Kabupaten Magetan,2020,28023.8
Kabupaten Ngawi,2020,23322.7
Kabupaten Bojonegoro,2020,54048.0
Kabupaten Tuban,2020,52084.9
Kabupaten Lamongan,2020,29220.6
Kabupaten Gresik,2020,102622.8
Kabupaten Bangkalan,2020,22038.2
Kabupaten Sampang,2020,20503.0
Kabupaten Pamekasan,2020,19778.6
Kabupaten Sumenep,2020,29166.2
Kota Kediri,2020,462198.7
Kota Blitar,2020,45090.1
Kota Malang,2020,85539.5
Kota Probolinggo,2020,46301.6
Kota Pasuruan,2020,38774.0
Kota Mojokerto,2020,49840.4
Kota Madiun,2020,69463.1
Kota Surabaya,2020,193009.9
Kota Batu,2020,74883.6
Kabupaten Pacitan,2021,27932.3
Kabupaten Ponorogo,2021,22432.1
Kabupaten Trenggalek,2021,26160.0
Kabupaten Tulungagung,2021,36688.3
Kabupaten Blitar,2021,30683.3
Kabupaten Kediri,2021,25867.0
Kabupaten Malang,2021,40056.7
Kabupaten Lumajang,2021,29938.8
Kabupaten Jember,2021,31781.0
Kabupaten Banyuwangi,2021,49896.2
Kabupaten Bondowoso,2021,27009.3
Kabupaten Situbondo,2021,30765.4
Kabupaten Probolinggo,2021,30708.3
Kabupaten Pasuruan,2021,97170.8
Kabupaten Sidoarjo,2021,100251.9
Kabupaten Mojokerto,2021,77339.7
Kabupaten Jombang,2021,31448.7
Kabupaten Nganjuk,2021,25279.6
Kabupaten Madiun,2021,26801.6
Kabupaten Magetan,2021,29080.7
Kabupaten Ngawi,2021,23838.3
Kabupaten Bojonegoro,2021,64424.3
Kabupaten Tuban,2021,54739.5
Kabupaten Lamongan,2021,30373.1
Kabupaten Gresik,2021,109418.3
Kabupaten Bangkalan,2021,23147.7
Kabupaten Sampang,2021,21064.1
Kabupaten Pamekasan,2021,20596.4
Kabupaten Sumenep,2021,31177.3
Kota Kediri,2021,489294.0
Kota Blitar,2021,47329.3
Kota Malang,2021,90159.9
Kota Probolinggo,2021,48406.1
Kota Pasuruan,2021,40372.0
Kota Mojokerto,2021,51961.6
Kota Madiun,2021,73502.0
Kota Surabaya,2021,204410.6
Kota Batu,2021,78330.9
Kabupaten Pacitan,2022,30627.3
Kabupaten Ponorogo,2022,24094.3
Kabupaten Trenggalek,2022,28309.5
Kabupaten Tulungagung,2022,40068.7
Kabupaten Blitar,2022,33284.7
Kabupaten Kediri,2022,28034.8
Kabupaten Malang,2022,43581.3
Kabupaten Lumajang,2022,32383.7
Kabupaten Jember,2022,34264.5
Kabupaten Banyuwangi,2022,53822.4
Kabupaten Bondowoso,2022,29216.6
Kabupaten Situbondo,2022,33367.5
Kabupaten Probolinggo,2022,33323.4
Kabupaten Pasuruan,2022,105849.8
Kabupaten Sidoarjo,2022,115389.3
Kabupaten Mojokerto,2022,84307.4
Kabupaten Jombang,2022,34292.3
Kabupaten Nganjuk,2022,27583.2
Kabupaten Madiun,2022,29109.8
Kabupaten Magetan,2022,31275.4
Kabupaten Ngawi,2022,25602.3
Kabupaten Bojonegoro,2022,76507.3
Kabupaten Tuban,2022,62058.7
Kabupaten Lamongan,2022,33398.6
Kabupaten Gresik,2022,122650.1
Kabupaten Bangkalan,2022,25134.3
Kabupaten Sampang,2022,23186.1
Kabupaten Pamekasan,2022,22225.7
Kabupaten Sumenep,2022,35324.2
Kota Kediri,2022,522857.1
Kota Blitar,2022,51593.4
Kota Malang,2022,98884.9
Kota Probolinggo,2022,52920.9
Kota Pasuruan,2022,44302.5
Kota Mojokerto,2022,56648.2
Kota Madiun,2022,79816.6
Kota Surabaya,2022,226080.4
Kota Batu,2022,85413.5
Kabupaten Pacitan,2023,33148.6
Kabupaten Ponorogo,2023,26313.9
Kabupaten Trenggalek,2023,30681.0
Kabupaten Tulungagung,2023,43296.9
Kabupaten Blitar,2023,35811.7
Kabupaten Kediri,2023,30192.7
Kabupaten Malang,2023,47272.2
