regency_city,year,Tidak ada
Kabupaten Pacitan,2020,68.39
Kabupaten Ponorogo,2020,70.81
Kabupaten Trenggalek,2020,69.74
Kabupaten Tulungagung,2020,73.0
Kabupaten Blitar,2020,70.58
Kabupaten Kediri,2020,72.05
Kabupaten Malang,2020,70.36
Kabupaten Lumajang,2020,65.46
Kabupaten Jember,2020,67.11
Kabupaten Banyuwangi,2020,70.62
Kabupaten Bondowoso,2020,66.43
Kabupaten Situbondo,2020,67.38
Kabupaten Probolinggo,2020,66.07
Kabupaten Pasuruan,2020,68.6
Kabupaten Sidoarjo,2020,80.29
Kabupaten Mojokerto,2020,73.83
Kabupaten Jombang,2020,72.97
Kabupaten Nganjuk,2020,71.72
Kabupaten Madiun,2020,71.73
Kabupaten Magetan,2020,73.92
Kabupaten Ngawi,2020,70.54
Kabupaten Bojonegoro,2020,69.04
Kabupaten Tuban,2020,68.4
Kabupaten Lamongan,2020,72.58
Kabupaten Gresik,2020,76.11
Kabupaten Bangkalan,2020,64.11
Kabupaten Sampang,2020,62.7
Kabupaten Pamekasan,2020,66.26
Kabupaten Sumenep,2020,66.43
Kota Kediri,2020,78.23
Kota Blitar,2020,78.57
Kota Malang,2020,81.45
Kota Probolinggo,2020,73.27
Kota Pasuruan,2020,75.26
Kota Mojokerto,2020,78.04
Kota Madiun,2020,80.91
Kota Surabaya,2020,82.23
Kota Batu,2020,75.9
Kabupaten Pacitan,2021,68.57
Kabupaten Ponorogo,2021,71.06
Kabupaten Trenggalek,2021,70.06
Kabupaten Tulungagung,2021,73.15
Kabupaten Blitar,2021,71.05
Kabupaten Kediri,2021,72.56
Kabupaten Malang,2021,70.6
Kabupaten Lumajang,2021,66.07
Kabupaten Jember,2021,67.32
Kabupaten Banyuwangi,2021,71.38
Kabupaten Bondowoso,2021,66.59
Kabupaten Situbondo,2021,67.78
Kabupaten Probolinggo,2021,66.26
Kabupaten Pasuruan,2021,68.93
Kabupaten Sidoarjo,2021,80.65
Kabupaten Mojokerto,2021,74.15
Kabupaten Jombang,2021,73.45
Kabupaten Nganjuk,2021,71.97
