regency_city,year
Kabupaten Pacitan,2020
Kabupaten Ponorogo,2020
Kabupaten Trenggalek,2020
Kabupaten Tulungagung,2020
Kabupaten Blitar,2020
Kabupaten Kediri,2020
Kabupaten Malang,2020
Kabupaten Lumajang,2020
Kabupaten Jember,2020
Kabupaten Banyuwangi,2020
Kabupaten Bondowoso,2020
Kabupaten Situbondo,2020
Kabupaten Probolinggo,2020
Kabupaten Pasuruan,2020
Kabupaten Sidoarjo,2020
Kabupaten Mojokerto,2020
Kabupaten Jombang,2020
Kabupaten Nganjuk,2020
Kabupaten Madiun,2020
Kabupaten Magetan,2020
Kabupaten Ngawi,2020
Kabupaten Bojonegoro,2020
Kabupaten Tuban,2020
Kabupaten Lamongan,2020
Kabupaten Gresik,2020
Kabupaten Bangkalan,2020
Kabupaten Sampang,2020
Kabupaten Pamekasan,2020
Kabupaten Sumenep,2020
Kota Kediri,2020
Kota Blitar,2020
Kota Malang,2020
Kota Probolinggo,2020
Kota Pasuruan,2020
Kota Mojokerto,2020
Kota Madiun,2020
Kota Surabaya,2020
Kota Batu,2020
Kabupaten Pacitan,2021
Kabupaten Ponorogo,2021
Kabupaten Trenggalek,2021
Kabupaten Tulungagung,2021
Kabupaten Blitar,2021
Kabupaten Kediri,2021
Kabupaten Malang,2021
Kabupaten Lumajang,2021
Kabupaten Jember,2021
Kabupaten Banyuwangi,2021
Kabupaten Bondowoso,2021
Kabupaten Situbondo,2021
Kabupaten Probolinggo,2021
Kabupaten Pasuruan,2021
Kabupaten Sidoarjo,2021
Kabupaten Mojokerto,2021
Kabupaten Jombang,2021
Kabupaten Nganjuk,2021
Kabupaten Madiun,2021
Kabupaten Magetan,2021
Kabupaten Ngawi,2021
Kabupaten Bojonegoro,2021
Kabupaten Tuban,2021
Kabupaten Lamongan,2021
Kabupaten Gresik,2021
Kabupaten Bangkalan,2021
Kabupaten Sampang,2021
Kabupaten Pamekasan,2021
Kabupaten Sumenep,2021
Kota Kediri,2021
Kota Blitar,2021
Kota Malang,2021
Kota Probolinggo,2021
Kota Pasuruan,2021
Kota Mojokerto,2021
Kota Madiun,2021
Kota Surabaya,2021
Kota Batu,2021
Kabupaten Pacitan,2022
Kabupaten Ponorogo,2022
Kabupaten Trenggalek,2022
Kabupaten Tulungagung,2022
Kabupaten Blitar,2022
Kabupaten Kediri,2022
Kabupaten Malang,2022
Kabupaten Lumajang,2022
Kabupaten Jember,2022
Kabupaten Banyuwangi,2022
Kabupaten Bondowoso,2022
Kabupaten Situbondo,2022
Kabupaten Probolinggo,2022
Kabupaten Pasuruan,2022
Kabupaten Sidoarjo,2022
Kabupaten Mojokerto,2022
Kabupaten Jombang,2022
Kabupaten Nganjuk,2022
Kabupaten Madiun,2022
Kabupaten Magetan,2022
Kabupaten Ngawi,2022
Kabupaten Bojonegoro,2022
Kabupaten Tuban,2022
Kabupaten Lamongan,2022
Kabupaten Gresik,2022
Kabupaten Bangkalan,2022
Kabupaten Sampang,2022
Kabupaten Pamekasan,2022
Kabupaten Sumenep,2022
Kota Kediri,2022
Kota Blitar,2022
Kota Malang,2022
Kota Probolinggo,2022
Kota Pasuruan,2022
Kota Mojokerto,2022
Kota Madiun,2022
Kota Surabaya,2022
Kota Batu,2022
Kabupaten Pacitan,2023
Kabupaten Ponorogo,2023
Kabupaten Trenggalek,2023
Kabupaten Tulungagung,2023
Kabupaten Blitar,2023
Kabupaten Kediri,2023
Kabupaten Malang,2023
Kabupaten Lumajang,2023
Kabupaten Jember,2023
Kabupaten Banyuwangi,2023
Kabupaten Bondowoso,2023
Kabupaten Situbondo,2023
Kabupaten Probolinggo,2023
Kabupaten Pasuruan,2023
Kabupaten Sidoarjo,2023
Kabupaten Mojokerto,2023
Kabupaten Jombang,2023
Kabupaten Nganjuk,2023
Kabupaten Madiun,2023
Kabupaten Magetan,2023
Kabupaten Ngawi,2023
Kabupaten Bojonegoro,2023
Kabupaten Tuban,2023
Kabupaten Lamongan,2023
Kabupaten Gresik,2023
Kabupaten Bangkalan,2023
Kabupaten Sampang,2023
Kabupaten Pamekasan,2023
Kabupaten Sumenep,2023
Kota Kediri,2023
Kota Blitar,2023
Kota Malang,2023
Kota Probolinggo,2023
Kota Pasuruan,2023
Kota Mojokerto,2023
Kota Madiun,2023
Kota Surabaya,2023
Kota Batu,2023
Kabupaten Pacitan,2024
Kabupaten Ponorogo,2024
Kabupaten Trenggalek,2024
Kabupaten Tulungagung,2024
Kabupaten Blitar,2024
Kabupaten Kediri,2024
Kabupaten Malang,2024
Kabupaten Lumajang,2024
Kabupaten Jember,2024
Kabupaten Banyuwangi,2024
Kabupaten Bondowoso,2024
Kabupaten Situbondo,2024
Kabupaten Probolinggo,2024
Kabupaten Pasuruan,2024
Kabupaten Sidoarjo,2024
Kabupaten Mojokerto,2024
Kabupaten Jombang,2024
Kabupaten Nganjuk,2024
Kabupaten Madiun,2024
Kabupaten Magetan,2024
Kabupaten Ngawi,2024
Kabupaten Bojonegoro,2024
Kabupaten Tuban,2024
Kabupaten Lamongan,2024
Kabupaten Gresik,2024
Kabupaten Bangkalan,2024
Kabupaten Sampang,2024
Kabupaten Pamekasan,2024
Kabupaten Sumenep,2024
Kota Kediri,2024
Kota Blitar,2024
Kota Malang,2024
Kota Probolinggo,2024
Kota Pasuruan,2024
Kota Mojokerto,2024
Kota Madiun,2024
Kota Surabaya,2024
Kota Batu,2024
