regency_city,year,7-12,13-15,16-18,19-23
Kabupaten Pacitan,2020,99.82,97.25,77.61,14.71
Kabupaten Ponorogo,2020,99.61,98.93,78.66,24.69
Kabupaten Trenggalek,2020,99.7,94.22,78.7,13.86
Kabupaten Tulungagung,2020,99.58,98.47,79.72,25.06
Kabupaten Blitar,2020,99.39,98.19,70.33,19.61
Kabupaten Kediri,2020,99.03,99.47,81.83,18.99
Kabupaten Malang,2020,99.96,97.96,62.25,33.91
Kabupaten Lumajang,2020,99.06,97.85,52.7,11.96
Kabupaten Jember,2020,99.73,96.95,67.12,26.68
Kabupaten Banyuwangi,2020,99.74,98.59,77.8,16.6
Kabupaten Bondowoso,2020,99.68,97.71,71.83,16.44
Kabupaten Situbondo,2020,99.23,97.93,65.26,15.14
Kabupaten Probolinggo,2020,99.42,94.17,60.63,15.12
Kabupaten Pasuruan,2020,99.62,97.6,65.43,20.57
Kabupaten Sidoarjo,2020,99.58,99.49,87.36,40.99
Kabupaten Mojokerto,2020,99.7,98.97,81.32,14.3
Kabupaten Jombang,2020,99.61,98.97,87.19,23.57
Kabupaten Nganjuk,2020,99.62,99.4,81.19,15.21
Kabupaten Madiun,2020,99.09,97.0,78.52,19.1
Kabupaten Magetan,2020,99.83,99.5,88.05,28.47
Kabupaten Ngawi,2020,99.62,99.28,77.15,16.09
Kabupaten Bojonegoro,2020,99.85,96.49,80.76,14.19
Kabupaten Tuban,2020,99.97,94.35,65.24,14.92
Kabupaten Lamongan,2020,99.61,99.53,69.53,28.67
Kabupaten Gresik,2020,99.66,99.47,85.48,26.55
Kabupaten Bangkalan,2020,99.48,92.37,50.47,19.01
Kabupaten Sampang,2020,98.51,93.54,57.61,18.28
Kabupaten Pamekasan,2020,98.74,97.46,73.11,20.54
Kabupaten Sumenep,2020,98.97,96.33,73.93,20.43
Kota Kediri,2020,99.6,98.89,86.72,34.26
Kota Blitar,2020,99.79,97.22,89.79,34.01
Kota Malang,2020,99.36,95.19,84.41,60.88
Kota Probolinggo,2020,99.49,96.53,81.13,24.87
Kota Pasuruan,2020,99.28,95.51,75.79,22.4
Kota Mojokerto,2020,99.56,99.02,80.13,31.03
