regency_city,year,Tidak ada
Kabupaten Pacitan,2020,
Kabupaten Ponorogo,2020,
Kabupaten Trenggalek,2020,
Kabupaten Tulungagung,2020,19.0
Kabupaten Blitar,2020,22.0
Kabupaten Kediri,2020,26.0
Kabupaten Malang,2020,33.0
Kabupaten Lumajang,2020,21.0
Kabupaten Jember,2020,31.0
Kabupaten Banyuwangi,2020,25.0
Kabupaten Bondowoso,2020,23.0
Kabupaten Situbondo,2020,12.0
Kabupaten Probolinggo,2020,24.0
Kabupaten Pasuruan,2020,24.0
Kabupaten Sidoarjo,2020,18.0
Kabupaten Mojokerto,2020,18.0
Kabupaten Jombang,2020,21.0
Kabupaten Nganjuk,2020,20.0
Kabupaten Madiun,2020,15.0
Kabupaten Magetan,2020,18.0
Kabupaten Ngawi,2020,19.0
Kabupaten Bojonegoro,2020,21.0
Kabupaten Tuban,2020,20.0
Kabupaten Lamongan,2020,27.0
Kabupaten Gresik,2020,18.0
Kabupaten Bangkalan,2020,18.0
Kabupaten Sampang,2020,14.0
Kabupaten Pamekasan,2020,13.0
Kabupaten Sumenep,2020,27.0
Kota Kediri,2020,3.0
Kota Blitar,2020,3.0
Kota Malang,2020,14.0
Kota Probolinggo,2020,5.0
Kota Pasuruan,2020,4.0
Kota Mojokerto,2020,3.0
Kota Madiun,2020,3.0
Kota Surabaya,2020,31.0
Kota Batu,2020,3.0
Kabupaten Pacitan,2021,
Kabupaten Ponorogo,2021,
Kabupaten Trenggalek,2021,
Kabupaten Tulungagung,2021,19.0
Kabupaten Blitar,2021,22.0
Kabupaten Kediri,2021,26.0
Kabupaten Malang,2021,33.0
Kabupaten Lumajang,2021,21.0
Kabupaten Jember,2021,31.0
Kabupaten Banyuwangi,2021,25.0
Kabupaten Bondowoso,2021,23.0
Kabupaten Situbondo,2021,12.0
Kabupaten Probolinggo,2021,24.0
Kabupaten Pasuruan,2021,24.0
Kabupaten Sidoarjo,2021,18.0
Kabupaten Mojokerto,2021,18.0
Kabupaten Jombang,2021,21.0
Kabupaten Nganjuk,2021,20.0
Kabupaten Madiun,2021,15.0
Kabupaten Magetan,2021,18.0
Kabupaten Ngawi,2021,19.0
Kabupaten Bojonegoro,2021,21.0
Kabupaten Tuban,2021,20.0
Kabupaten Lamongan,2021,27.0
Kabupaten Gresik,2021,18.0
Kabupaten Bangkalan,2021,18.0
Kabupaten Sampang,2021,14.0
Kabupaten Pamekasan,2021,13.0
Kabupaten Sumenep,2021,27.0
Kota Kediri,2021,3.0
Kota Blitar,2021,3.0
Kota Malang,2021,14.0
Kota Probolinggo,2021,5.0
Kota Pasuruan,2021,4.0
Kota Mojokerto,2021,3.0
Kota Madiun,2021,3.0
Kota Surabaya,2021,31.0
Kota Batu,2021,3.0
