regency_city,year,Tidak ada
Kabupaten Pacitan,2020,2.28
Kabupaten Ponorogo,2020,4.45
Kabupaten Trenggalek,2020,4.11
Kabupaten Tulungagung,2020,4.61
Kabupaten Blitar,2020,3.82
Kabupaten Kediri,2020,5.24
Kabupaten Malang,2020,5.49
Kabupaten Lumajang,2020,3.36
Kabupaten Jember,2020,5.12
Kabupaten Banyuwangi,2020,5.34
Kabupaten Bondowoso,2020,4.13
Kabupaten Situbondo,2020,3.85
Kabupaten Probolinggo,2020,4.86
Kabupaten Pasuruan,2020,6.24
Kabupaten Sidoarjo,2020,10.97
Kabupaten Mojokerto,2020,5.75
Kabupaten Jombang,2020,7.48
Kabupaten Nganjuk,2020,4.8
Kabupaten Madiun,2020,4.8
Kabupaten Magetan,2020,3.74
Kabupaten Ngawi,2020,5.44
Kabupaten Bojonegoro,2020,4.92
Kabupaten Tuban,2020,4.81
Kabupaten Lamongan,2020,5.13
Kabupaten Gresik,2020,8.21
Kabupaten Bangkalan,2020,8.77
Kabupaten Sampang,2020,3.35
Kabupaten Pamekasan,2020,3.49
Kabupaten Sumenep,2020,2.84
Kota Kediri,2020,6.21
Kota Blitar,2020,6.68
Kota Malang,2020,9.61
Kota Probolinggo,2020,6.7
Kota Pasuruan,2020,6.33
Kota Mojokerto,2020,6.74
Kota Madiun,2020,8.32
Kota Surabaya,2020,9.79
Kota Batu,2020,5.93
Kabupaten Pacitan,2021,2.04
Kabupaten Ponorogo,2021,4.38
Kabupaten Trenggalek,2021,3.53
Kabupaten Tulungagung,2021,4.91
Kabupaten Blitar,2021,3.66
Kabupaten Kediri,2021,5.15
Kabupaten Malang,2021,5.4
Kabupaten Lumajang,2021,3.51
Kabupaten Jember,2021,5.44
Kabupaten Banyuwangi,2021,5.42
Kabupaten Bondowoso,2021,4.46
Kabupaten Situbondo,2021,3.68
Kabupaten Probolinggo,2021,4.55
Kabupaten Pasuruan,2021,6.03
Kabupaten Sidoarjo,2021,10.87
Kabupaten Mojokerto,2021,5.54
Kabupaten Jombang,2021,7.09
Kabupaten Nganjuk,2021,4.98
Kabupaten Madiun,2021,4.99
Kabupaten Magetan,2021,3.86
Kabupaten Ngawi,2021,4.25
Kabupaten Bojonegoro,2021,4.82
Kabupaten Tuban,2021,4.68
Kabupaten Lamongan,2021,4.9
Kabupaten Gresik,2021,8.0
Kabupaten Bangkalan,2021,8.07
Kabupaten Sampang,2021,3.45
Kabupaten Pamekasan,2021,3.1
Kabupaten Sumenep,2021,2.31
Kota Kediri,2021,6.37
Kota Blitar,2021,6.61
Kota Malang,2021,9.65
Kota Probolinggo,2021,6.55
Kota Pasuruan,2021,6.23
Kota Mojokerto,2021,6.87
Kota Madiun,2021,8.15
Kota Surabaya,2021,9.68
Kota Batu,2021,6.57
Kabupaten Pacitan,2022,3.65
Kabupaten Ponorogo,2022,5.51
Kabupaten Trenggalek,2022,5.37
Kabupaten Tulungagung,2022,6.65
Kabupaten Blitar,2022,5.45
Kabupaten Kediri,2022,6.83
Kabupaten Malang,2022,6.57
Kabupaten Lumajang,2022,4.97
Kabupaten Jember,2022,4.06
Kabupaten Banyuwangi,2022,5.26
Kabupaten Bondowoso,2022,4.32
Kabupaten Situbondo,2022,3.38
Kabupaten Probolinggo,2022,3.25
Kabupaten Pasuruan,2022,5.91
Kabupaten Sidoarjo,2022,8.8
Kabupaten Mojokerto,2022,4.83
Kabupaten Jombang,2022,5.47
Kabupaten Nganjuk,2022,4.74
Kabupaten Madiun,2022,5.84
Kabupaten Magetan,2022,4.33
Kabupaten Ngawi,2022,2.48
Kabupaten Bojonegoro,2022,4.69
Kabupaten Tuban,2022,4.54
Kabupaten Lamongan,2022,6.05
Kabupaten Gresik,2022,7.84
Kabupaten Bangkalan,2022,8.05
Kabupaten Sampang,2022,3.11
Kabupaten Pamekasan,2022,1.4
Kabupaten Sumenep,2022,1.36
Kota Kediri,2022,4.38
Kota Blitar,2022,5.39
Kota Malang,2022,7.66
Kota Probolinggo,2022,4.57
Kota Pasuruan,2022,6.18
Kota Mojokerto,2022,5.05
Kota Madiun,2022,6.39
Kota Surabaya,2022,7.62
Kota Batu,2022,8.43
Kabupaten Pacitan,2023,1.83
Kabupaten Ponorogo,2023,4.66
Kabupaten Trenggalek,2023,4.52
Kabupaten Tulungagung,2023,5.65
Kabupaten Blitar,2023,4.91
Kabupaten Kediri,2023,5.79
Kabupaten Malang,2023,5.7
Kabupaten Lumajang,2023,3.67
Kabupaten Jember,2023,4.01
Kabupaten Banyuwangi,2023,4.75
Kabupaten Bondowoso,2023,4.15
Kabupaten Situbondo,2023,3.27
Kabupaten Probolinggo,2023,3.24
Kabupaten Pasuruan,2023,5.48
Kabupaten Sidoarjo,2023,8.05
Kabupaten Mojokerto,2023,4.67
Kabupaten Jombang,2023,4.66
Kabupaten Nganjuk,2023,4.68
Kabupaten Madiun,2023,5.14
Kabupaten Magetan,2023,4.16
Kabupaten Ngawi,2023,2.41
Kabupaten Bojonegoro,2023,4.63
Kabupaten Tuban,2023,4.4
Kabupaten Lamongan,2023,5.46
Kabupaten Gresik,2023,6.82
Kabupaten Bangkalan,2023,6.18
Kabupaten Sampang,2023,2.72
Kabupaten Pamekasan,2023,1.74
Kabupaten Sumenep,2023,1.71
Kota Kediri,2023,4.06
Kota Blitar,2023,5.24
Kota Malang,2023,6.8
Kota Probolinggo,2023,4.53
Kota Pasuruan,2023,5.64
Kota Mojokerto,2023,4.73
Kota Madiun,2023,5.85
Kota Surabaya,2023,6.76
Kota Batu,2023,4.52
Kabupaten Pacitan,2024,1.56
Kabupaten Ponorogo,2024,4.19
Kabupaten Trenggalek,2024,3.9
Kabupaten Tulungagung,2024,4.12
Kabupaten Blitar,2024,4.77
Kabupaten Kediri,2024,5.1
Kabupaten Malang,2024,5.13
Kabupaten Lumajang,2024,3.28
Kabupaten Jember,2024,3.23
Kabupaten Banyuwangi,2024,4.03
Kabupaten Bondowoso,2024,3.63
Kabupaten Situbondo,2024,3.15
Kabupaten Probolinggo,2024,3.0
Kabupaten Pasuruan,2024,5.02
Kabupaten Sidoarjo,2024,6.49
Kabupaten Mojokerto,2024,3.87
Kabupaten Jombang,2024,3.75
Kabupaten Nganjuk,2024,3.87
Kabupaten Madiun,2024,4.34
Kabupaten Magetan,2024,3.28
Kabupaten Ngawi,2024,2.4
Kabupaten Bojonegoro,2024,4.42
Kabupaten Tuban,2024,4.28
Kabupaten Lamongan,2024,4.34
Kabupaten Gresik,2024,6.45
Kabupaten Bangkalan,2024,5.35
Kabupaten Sampang,2024,2.5
Kabupaten Pamekasan,2024,1.64
Kabupaten Sumenep,2024,1.69
Kota Kediri,2024,3.91
Kota Blitar,2024,5.11
Kota Malang,2024,6.1
Kota Probolinggo,2024,4.44
Kota Pasuruan,2024,4.63
Kota Mojokerto,2024,3.76
Kota Madiun,2024,4.3
Kota Surabaya,2024,4.91
Kota Batu,2024,3.63
