regency_city,year,total_population,number_of_poor_people,poverty_percentage,school_participation_rate,sanitation_access_percent,drinking_water_access_percent,proper_housing_percent,unemployment_rate,gdp_per_capita,population_density,hdi
Kabupaten Pacitan,2020,586100.0,,,14.71,69.9,84.43,,2.28,26972.4,422.0,68.39
Kabupaten Pacitan,2021,,84.19,15.11,14.8,71.7,76.71,,2.04,27932.3,,68.57
Kabupaten Pacitan,2022,592920.0,76.93,13.8,78.45,72.64,83.95,,3.65,30627.3,414.0,69.37
Kabupaten Pacitan,2023,,,,12.14,,,,1.83,33148.6,,70.19
Kabupaten Pacitan,2024,,,,10.75,,,,1.56,35096.3,,71.49
Kabupaten Ponorogo,2020,949300.0,,,24.69,84.97,91.15,,4.45,21653.6,727.0,70.81
Kabupaten Ponorogo,2021,,89.94,10.26,25.01,87.49,96.3,,4.38,22432.1,,71.06
Kabupaten Ponorogo,2022,964250.0,81.8,9.32,78.18,86.77,91.5,,5.51,24094.3,680.0,71.87
Kabupaten Ponorogo,2023,,,,19.04,,,,4.66,26313.9,,72.5
Kabupaten Ponorogo,2024,,,,20.8,,,,4.19,28088.0,,73.7
Kabupaten Trenggalek,2020,731100.0,,,13.86,76.81,80.64,,4.11,25087.3,637.0,69.74
Kabupaten Trenggalek,2021,,84.89,12.14,15.1,75.48,75.78,,3.53,26160.0,,70.06
Kabupaten Trenggalek,2022,739670.0,76.75,10.96,84.99,79.27,81.23,,5.37,28309.5,592.0,71.0
Kabupaten Trenggalek,2023,,,,13.68,,,,4.52,30681.0,,71.73
Kabupaten Trenggalek,2024,,,,13.52,,,,3.9,32725.6,,72.47
Kabupaten Tulungagung,2020,1089800.0,,,25.06,89.45,96.75,,4.61,35142.7,1032.0,73.0
Kabupaten Tulungagung,2021,,78.59,7.51,26.51,85.37,97.4,,4.91,36688.3,,73.15
Kabupaten Tulungagung,2022,1105340.0,70.52,6.71,78.21,83.6,96.39,,6.65,40068.7,966.0,74.06
Kabupaten Tulungagung,2023,,,,23.66,,,,5.65,43296.9,,74.61
Kabupaten Tulungagung,2024,,,,22.07,,,,4.12,46008.7,,75.13
Kabupaten Blitar,2020,1223700.0,,,19.61,80.36,95.35,,3.82,29489.6,916.0,70.58
Kabupaten Blitar,2021,,112.62,9.65,20.69,75.67,93.33,,3.66,30683.3,,71.05
Kabupaten Blitar,2022,1240320.0,101.94,8.71,68.57,80.11,96.37,,5.45,33284.7,711.0,71.86
Kabupaten Blitar,2023,,,,16.04,,,,4.91,35811.7,,72.49
Kabupaten Blitar,2024,,,,14.92,,,,4.77,37810.6,,73.44
Kabupaten Kediri,2020,1635300.0,,,18.99,83.59,98.89,,5.24,24884.6,1180.0,72.05
Kabupaten Kediri,2021,,184.49,11.64,21.8,86.92,96.35,,5.15,25867.0,,72.56
Kabupaten Kediri,2022,1656020.0,169.46,10.65,85.24,88.68,92.17,,6.83,28034.8,1087.0,73.46
Kabupaten Kediri,2023,,,,18.4,,,,5.79,30192.7,,73.96
Kabupaten Kediri,2024,,,,18.16,,,,5.1,32338.7,,75.18
